locality,year,numdeaths,numdeaths_white,numdeaths_black,numdeaths_other,ratedeaths,ratedeaths_white,ratedeaths_black,ratedeaths_other,rate_all_3yr,rate_white_3yr,rate_black_3yr,rate_other_3yr
Albemarle County,2000,6,4,2,0,5.7,4.6,17.1,0,NA,NA,NA,NA
Albemarle County,2001,4,3,1,0,4.1,3.7,9.5,0,5.333333333333333,4.033333333333333,15.166666666666666,4.3999999999999995
Albemarle County,2002,6,3,2,1,6.2,3.8,18.9,13.2,5.3999999999999995,4.5,12.866666666666665,4.3999999999999995
Albemarle County,2003,6,5,1,0,5.9,6,10.2,0,4.733333333333333,3.6666666666666665,13.166666666666666,4.3999999999999995
Albemarle County,2004,2,1,1,0,2.1,1.2,10.4,0,4.566666666666667,3.9,12.6,0
Albemarle County,2005,6,4,2,0,5.7,4.5,17.2,0,4.733333333333333,3.4,14.366666666666667,4.566666666666666
Albemarle County,2006,7,4,2,1,6.4,4.5,15.5,13.7,6.1000000000000005,4.433333333333334,16.266666666666666,8.9
Albemarle County,2007,7,4,2,1,6.2,4.3,16.1,13,7.433333333333334,5.1000000000000005,20.2,13.733333333333334
Albemarle County,2008,11,6,4,1,9.7,6.5,29,14.5,6.833333333333333,5.1000000000000005,18.099999999999998,9.166666666666666
Albemarle County,2009,5,4,1,0,4.6,4.5,9.2,0,5.666666666666667,4.033333333333333,19.466666666666665,4.833333333333333
Albemarle County,2010,3,1,2,0,2.7,1.1,20.2,0,3.3666666666666667,2.6333333333333333,9.799999999999999,4.166666666666667
Albemarle County,2011,3,2,0,1,2.8,2.3,0,12.5,2.1333333333333333,1.5666666666666664,6.733333333333333,4.166666666666667
Albemarle County,2012,1,1,0,0,0.9,1.3,0,0,3.433333333333333,3.1999999999999997,0,9.366666666666667
Albemarle County,2013,7,5,0,2,6.6,6,0,15.6,3.4666666666666663,3.3000000000000003,2.8333333333333335,5.2
Albemarle County,2014,3,2,1,0,2.9,2.6,8.5,0,3.4999999999999996,3.266666666666667,2.8333333333333335,5.2
Albemarle County,2015,1,1,0,0,1,1.2,0,0,1.5999999999999999,1.2666666666666668,2.8333333333333335,1.8
Albemarle County,2016,1,0,0,1,0.9,0,0,5.4,0.6333333333333333,0.4000000000000001,0,1.8
Albemarle County,2017,0,0,0,0,0,0,0,0,3.1666666666666665,2.9,2.766666666666667,4.533333333333333
Albemarle County,2018,9,7,1,1,8.6,8.7,8.3,8.2,4.5,3.6999999999999997,9,6
Albemarle County,2019,5,2,2,1,4.9,2.4,18.7,9.8,6.199999999999999,5,14.6,6
Albemarle County,2020,5,3,2,0,5.1,3.9,16.8,0,NA,NA,NA,NA
Charlottesville City,2000,4,2,1,1,7.3,6,5.6,23.8,NA,NA,NA,NA
Charlottesville City,2001,8,2,6,0,16.2,6.5,43.2,0,11.899999999999999,7.266666666666667,23.46666666666667,7.933333333333334
Charlottesville City,2002,6,3,3,0,12.2,9.3,21.6,0,13.866666666666665,9.033333333333333,29.600000000000005,0
Charlottesville City,2003,7,4,3,0,13.2,11.3,24,0,11.999999999999998,9,22.2,0
Charlottesville City,2004,5,2,3,0,10.6,6.4,21,0,10.466666666666665,7.866666666666667,19.233333333333334,0
Charlottesville City,2005,4,2,2,0,7.6,5.9,12.7,0,9.399999999999999,7,14.066666666666668,9.266666666666667
Charlottesville City,2006,5,3,1,1,10,8.7,8.5,27.8,11.966666666666667,9.566666666666666,17.099999999999998,9.266666666666667
Charlottesville City,2007,10,5,5,0,18.3,14.1,30.1,0,11.666666666666666,8.466666666666667,18.46666666666667,9.266666666666667
Charlottesville City,2008,4,1,3,0,6.7,2.6,16.8,0,11.266666666666666,7.3999999999999995,21.46666666666667,0
Charlottesville City,2009,5,2,3,0,8.8,5.5,17.5,0,8.2,3.6,21.400000000000002,0
Charlottesville City,2010,5,1,4,0,9.1,2.7,29.9,0,7.3,3.7000000000000006,18.5,0
Charlottesville City,2011,2,1,1,0,4,2.9,8.1,0,7.266666666666666,5.366666666666667,15.299999999999999,0
Charlottesville City,2012,5,4,1,0,8.7,10.5,7.9,0,4.766666666666666,5.3,5.333333333333333,0
Charlottesville City,2013,1,1,0,0,1.6,2.5,0,0,3.9666666666666655,5.166666666666667,2.6333333333333333,0
Charlottesville City,2014,1,1,0,0,1.6,2.5,0,0,2.799999999999999,4.233333333333333,0,0
Charlottesville City,2015,3,3,0,0,5.2,7.7,0,0,4.666666666666665,4.266666666666667,8.766666666666667,0
Charlottesville City,2016,4,1,3,0,7.2,2.6,26.3,0,6.966666666666666,8.033333333333333,8.766666666666667,0
Charlottesville City,2017,5,5,0,0,8.5,13.8,0,0,6.333333333333332,7,8.766666666666667,0
Charlottesville City,2018,2,2,0,0,3.3,4.6,0,0,5.533333333333332,6.866666666666667,5.7,0
Charlottesville City,2019,3,1,2,0,4.8,2.2,17.1,0,3.299999999999999,3.1333333333333333,5.7,0
Charlottesville City,2020,1,1,0,0,1.8,2.6,0,0,NA,NA,NA,NA
Commonwealth Of Virginia,2000,676,374,276,26,6.8,5.4,12.4,3.5,NA,NA,NA,NA
Commonwealth Of Virginia,2001,730,365,342,23,7.4,5.3,15.5,3,7.166666666666667,5.433333333333334,14.133333333333333,3.1999999999999997
Commonwealth Of Virginia,2002,725,382,316,27,7.3,5.6,14.5,3.1,7.433333333333334,5.666666666666667,14.633333333333333,3.2999999999999994
Commonwealth Of Virginia,2003,766,428,303,35,7.6,6.1,13.9,3.8,7.433333333333334,5.833333333333333,14.266666666666666,3.1999999999999997
Commonwealth Of Virginia,2004,768,423,321,24,7.4,5.8,14.4,2.7,7.466666666666666,5.933333333333334,14.233333333333334,3.1666666666666665
Commonwealth Of Virginia,2005,777,427,319,31,7.4,5.9,14.4,3,7.3,5.733333333333334,14.200000000000001,3.1333333333333333
Commonwealth Of Virginia,2006,760,402,319,39,7.1,5.5,13.8,3.7,7.3999999999999995,5.800000000000001,14.566666666666668,3.1
Commonwealth Of Virginia,2007,839,441,367,31,7.7,6,15.5,2.6,7.166666666666667,5.633333333333334,13.833333333333334,3.233333333333333
Commonwealth Of Virginia,2008,716,396,285,35,6.7,5.4,12.2,3.4,7.133333333333333,5.666666666666667,13.799999999999999,2.766666666666666
Commonwealth Of Virginia,2009,740,400,315,25,7,5.6,13.7,2.3,6.833333333333333,5.300000000000001,13.5,2.733333333333333
Commonwealth Of Virginia,2010,695,341,327,27,6.8,4.9,14.6,2.5,6.833333333333333,5.233333333333333,13.699999999999998,2.8666666666666667
Commonwealth Of Virginia,2011,685,361,282,42,6.7,5.2,12.8,3.8,6.6000000000000005,4.966666666666668,13.466666666666667,3.0999999999999996
Commonwealth Of Virginia,2012,650,322,285,43,6.3,4.8,13,3,6.3999999999999995,5.066666666666667,12.666666666666666,3
Commonwealth Of Virginia,2013,632,335,264,33,6.2,5.2,12.2,2.2,6.066666666666666,5,12.1,2.2666666666666666
Commonwealth Of Virginia,2014,586,323,237,26,5.7,5,11.1,1.6,5.933333333333334,4.966666666666668,11.533333333333331,2.433333333333333
Commonwealth Of Virginia,2015,605,304,241,60,5.9,4.7,11.3,3.5,5.8,4.833333333333333,11.066666666666668,2.9
Commonwealth Of Virginia,2016,593,304,225,64,5.8,4.8,10.8,3.6,5.766666666666667,4.800000000000001,10.6,3.4
Commonwealth Of Virginia,2018,558,301,204,53,5.6,4.9,9.7,3.1,5.766666666666667,4.800000000000001,10.366666666666665,3.5666666666666664
Commonwealth Of Virginia,2019,570,280,226,64,5.9,4.7,10.6,4,5.6000000000000005,4.466666666666668,10.166666666666666,3.7999999999999994
Commonwealth Of Virginia,2020,497,220,210,67,5.3,3.8,10.2,4.3,NA,NA,NA,NA
