year,locality,underage_arrests,population,per_1000
2021,Albemarle,6,NA,#VALUE!
2021,Charlottesville,0,NA,#VALUE!
2021,Virginia,140,NA,#VALUE!
2020,Albemarle,2,21879,0.09141185612
2020,Charlottesville,0,7316,0
2020,Virginia,173,1866420,0.09269081986
2019,Albemarle,3,21830,0.1374255612
2019,Charlottesville,0,7345,0
2019,Virginia,523,1868689,0.2798753565
2018,Albemarle,0,21772,0
2018,Charlottesville,0,7345,0
2018,Virginia,523,1870042,0.279672863
2017,Albemarle,17,21954,0.7743463606
2017,Charlottesville,1,7303,0.1369300288
2017,Virginia,619,1872961,0.3304927332
2016,Albemarle,15,21970,0.6827492035
2016,Charlottesville,0,7212,0
2016,Virginia,619,1871874,0.3306846508
2015,Albemarle,19,21932,0.8663140616
2015,Charlottesville,0,7096,0
2015,Virginia,788,1868554,0.4217164717
2014,Albemarle,33,21879,1.508295626
2014,Charlottesville,0,6952,0
2014,Virginia,1025,1865929,0.549324224
2013,Albemarle,23,21725,1.058688147
2013,Charlottesville,7,6864,1.01981352
2013,Virginia,1339,1864735,0.7180644971
2012,Albemarle,42,21576,1.946607341
2012,Charlottesville,7,6700,1.044776119
2012,Virginia,1655,1862624,0.8885314481
2011,Albemarle,75,21465,3.494060098
2011,Charlottesville,4,6499,0.6154793045
2011,Virginia,1844,1857553,0.9927038421
2010,Albemarle,57,21302,2.675805089
2010,Charlottesville,0,6475,0
2010,Virginia,2133,1854974,1.149881346
2009,Albemarle,70,21321,3.28314807
2009,Charlottesville,9,6418,1.402306014
2009,Virginia,2103,1845132,1.139755855
2008,Albemarle,67,21306,3.144654088
2008,Charlottesville,9,6298,1.429025087
2008,Virginia,2294,1838361,1.247850667
2007,Albemarle,66,21044,3.136285877
2007,Charlottesville,9,6304,1.427664975
2007,Virginia,2030,1834386,1.106637316
2006,Albemarle,63,20845,3.022307508
2006,Charlottesville,2,6315,0.3167062549
2006,Virginia,1843,1826368,1.009106598
2005,Albemarle,25,20559,1.216012452
2005,Charlottesville,5,6226,0.803083842
2005,Virginia,1524,1816270,0.839082295
2004,Albemarle,54,20311,2.65865787
2004,Charlottesville,14,6262,2.235707442
2004,Virginia,1605,1801958,0.8906977854
2003,Albemarle,30,20151,1.488759863
2003,Charlottesville,6,6507,0.9220839096
2003,Virginia,1466,1782254,0.8225539121
2002,Albemarle,38,20133,1.887448468
2002,Charlottesville,3,6672,0.4496402878
2002,Virginia,1917,1771247,1.082288354
2001,Albemarle,69,19927,3.462638631
2001,Charlottesville,8,6771,1.181509378
2001,Virginia,1962,1754549,1.118236082
2000,Albemarle,38,19791,1.920064676
2000,Charlottesville,9,6759,1.331557923
2000,Virginia,1875,1741420,1.076707515
1999,Albemarle,60,19488,3.078817734
1999,Charlottesville,8,6878,1.163128817
1999,Virginia,1457,1723125,0.8455567646